id,gen,smile,source,score
AABT,1,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC1c2ccccc2CC1C(=O)NC1c2ccccc2CC1O,generated,-10.8
ABSI,0,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,hiv,-10.8
ABSV,0,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,manual,-10.7
AALL,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCCCCC4)CC3)sc2c1,generated,-10.7
ABSU,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCC4)CC3)sc2c1,manual,-10.4
AACN,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,-10.4
AAEK,1,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1,generated,-10.3
AACL,1,CC(C)(C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)CCc1ccccc1,generated,-10.2
AAKZ,1,COC(=O)NC(C)C1CCCCC1C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)O,generated,-10.2
AAOO,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OC(C)(C)OC12)S(=O)(=O)c1ccc(N)cc1,generated,-10.2
AAEP,1,CNC(=O)NC(C(=O)NC(Cc1ccc(-c2ccccc2)cc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)C(O)CN(CC(N)=O)c1ccccc1)C(C)(C)C,generated,-10.2
AAEN,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(Nc2ccccc2Cl)cc1,generated,-10.2
AAMS,1,CC(C)(C)NC(=O)NC(Cc1ccccc1)C(O)CNC(Cc1ccccc1)C(O)CNC(=O)c1ccccc1,generated,-10.1
AAVX,0,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,-10.1
AAHY,1,CC(=O)NC(Cc1ccccc1)C(O)CNNC(=O)C(CC(N)=O)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)c1ccc(-c2cccc(C)c2)cc1,generated,-10.1
AAID,1,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(N)=O,generated,-10.1
AAFO,1,CNC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(C)(C)C,generated,-10.1
AAGU,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC(=O)OC(C)(C)C)sc2c1,generated,-10
AAKA,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccccc1,training,-10
AALE,1,O=C(OCCC(CO)(c1ccccc1)C(O)CC(Cc1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,generated,-10
ABSH,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCN(C4CCCC4)CC3)sc2c1,hiv,-10
AAJY,1,CN(C)C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-10
AAEH,1,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(C)C)C(C)(C)C,generated,-10
AAVJ,0,O=C(Nc1ccc2c(c1)OCO2)C1CC2CCC(C1)N2CCCCn1ccc2ccc(O)cc21,generated,-9.9
ABSX,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,manual,-9.9
AANO,1,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(CNc2ccccc2)cc1,generated,-9.9
AABA,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(O)cc1,training,-9.9
AAAK,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(N)sc2c1,training,-9.9
AACR,1,Cc1ccc(S(=O)(=O)N(CC(C)C)CC(O)C(Cc2ccccc2)NC(=O)OC2COC3OCCC23)cc1,training,-9.9
AABY,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,generated,-9.9
AAHF,1,CC(C)C(NC(=O)CC(O)C(O)CNCCC(N)CC(Cc1ccccc1)C(O)CNC1CCCC1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,-9.8
AANV,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)NC(=O)c1ccc2nc(NC3CCN(C4CCCCC4)CC3)sc2n1,generated,-9.8
AABM,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1cccc(Nc2ccccc2)n1,generated,-9.8
AAJG,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(-c2ccccc2)cc1,generated,-9.8
AAJJ,1,CC(C)NC(=O)C(Cc1ccccc1)NC(=O)c1ccc(CNC(=O)C(CC(=O)O)NC(=O)c2cc(C(C)(C)C)nc(CN3CCN(c4ccccc4)CC3)n2)cc1,generated,-9.8
AAAV,1,CC(C)(C)NC(=O)C1CN(Cc2ccccc2Cl)CCN1CC(O)CC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(O)CNC(=O)c1ccccc1,generated,-9.8
AAFS,1,CCOP(=O)(CN(Cc1ccccc1)C(=O)NC(Cc1cn(CC(C)C)nn1)c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,generated,-9.7
AAER,1,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CNC(Cc1ccccc1)C(=O)NC(Cc1cn(C)c(=O)[nH]1)c1ccccc1,generated,-9.7
AAMK,1,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1ccc(-c2ccccc2)cc1,generated,-9.6
AAGT,1,CC(C)N(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(Nc2ccccc2)cc1,generated,-9.6
AAJC,1,Cc1ccc(S(=O)(=O)N(CC(C)C)CC(O)C(Cc2cccnc2)NC(=O)OC2COC3OCCC23)cc1O,generated,-9.6
AAKG,1,CC(C)CN(CC(O)C(Cc1ccccc1)OCc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,generated,-9.5
AAEE,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CC3)ncc2c1,generated,-9.5
AAAO,1,CC(C)N(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)C(C)C,generated,-9.5
ABSN,0,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,hiv,-9.5
AAAL,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(C(C)(C)C)cc1,generated,-9.5
AAJI,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2ccccc2n1,generated,-9.5
AABH,1,CC(C)CN(CC(O)C(CC(N)=O)NC(=O)c1ccccc1)C(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CC(N)=O)NC(=O)C(C)(C)N,generated,-9.4
AAOI,1,CC(C)CN(C(Cc1ccccc1)C(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)s1,generated,-9.4
AARC,0,NC(=O)C(Cc1ccc(OCc2ccccc2)cc1)CP(=O)(O)CC(Cc1ccccc1)C(=O)O,generated,-9.4
AABK,1,CC(C)C(NC(=O)CC(NC(=O)OCc1ccccc1)C(O)CN(Cc1ccccc1)Cc1ccccc1)C(c1ccccc1)c1ccccc1,generated,-9.3
AAJE,1,CC(C)(C)NC(=O)C1CN(Cc2ccccc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,generated,-9.3
ABTA,0,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,manual,-9.3
AALS,1,O=C(C=Cc1ccc(OCc2ccccc2)cc1)NP(=O)(O)CC(Cc1ccccc1)C(=O)O,generated,-9.3
AADI,1,CC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccc2)cc1)C(O)CNC(C)(C)C)C(c1ccccc1)c1ccccc1,generated,-9.3
AANF,1,CC(C)N(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,generated,-9.2
AALA,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(NC3CCCC3)sc2c1,generated,-9.2
AALC,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,training,-9.2
AADR,1,N#Cc1cccc(NP(=O)(OCC(CO)Cc2ccc(C(F)(F)F)cc2)c2ccccc2)c1,generated,-9.2
AADW,1,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(Cl)cc1,generated,-9.2
AAIM,1,CC(=O)NC(CO)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1cccc(C(F)(F)F)c1)C(N)=O,generated,-9.2
AAMM,1,CC(C)(C)c1ccccc1N1CCN(CC(O)CN(Cc2ccccc2)c2ccccc2)CC1,generated,-9.2
AAET,1,CC(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1cccc(NS(=O)(=O)c2ccccc2)c1,generated,-9.2
ABSK,0,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,hiv,-9.2
AAIU,1,CC(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,-9.1
AAEV,1,O=C(OC(C(=O)NC1c2ccccc2CC1O)c1ccccc1)c1ccccc1,generated,-9.1
AAMA,1,CC(C)c1ccc(NC(=O)CCc2cc(C(N)=O)cc(C(=O)NC(CCC(=O)O)NC(=O)C(CC(N)=O)NC(=O)c3ccccc3)c2)cc1,generated,-9.1
AAKB,1,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-9.1
AAAX,1,N#Cc1cccc(NP(=O)(OCC(CO)CC(CO)Cc2ccccc2)c2ccccc2)c1,generated,-9.1
AAEO,1,CCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CCC)OC(=O)c1ccccc1)=C(N)NC(C)(C)C,generated,-9.1
AAFF,1,CCC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)c1ccccc1)C(C)(C)C,generated,-9
AAEJ,1,O=C(CCC(=O)N(Cc1ccccc1)Cc1ccccc1)c1ccc(-c2ccccc2)cc1,generated,-9
AAJX,1,CC(C)CCNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-9
ABHY,0,N#Cc1cccc(NP(=O)(OCC(CO)Cc2ccc(F)c(F)c2)c2ccccc2)c1,generated,-9
AAOB,1,CC(C)(C)NC(=O)C1CN(Cc2ccccc2)CCN1CC(O)C(Cc1ccccc1)NC(=O)c1ccc(-c2ccccc2)cc1,generated,-8.9
ABRN,0,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CNNC(=O)C(Cc1ccccc1)OC(=O)c1ccccc1,generated,-8.9
AAMY,1,CC1=CCC2C(C)(C)C(O)CCC2(C)C2CCC3C(C)(C)C(O)CCC3(C)C2C1,generated,-8.9
AANZ,0,O=C(C=Cc1ccc(CNCc2ccc(Cl)cc2)cc1)N(Cc1ccccc1)Cc1ccc(Br)cc1,generated,-8.8
AAJZ,1,CN(C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2ccccc2n1,generated,-8.8
AALX,1,CC(C)(C)N(Cc1ccc(C(N)=O)cc1)Cc1cccc2ccccc12,generated,-8.8
AADP,1,CC(C)(C)c1ccc(-c2cc(NC(=O)OC(CC(=O)O)C(=O)O)cc(OCc3ccccc3)c2)cc1,generated,-8.8
AANR,1,CC(C)(C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,generated,-8.8
AAGD,1,CC(C)C(NS(=O)(=O)c1ccc(C(F)(F)F)cc1)C(=O)NC1c2ccccc2CC1O,generated,-8.7
AAHG,1,COC(=O)NC(C(=O)NC(Cc1ccccc1)c1ccccc1)c1nc2ccccc2n1C(C)C,generated,-8.7
ABFZ,0,O=C(OC(Cc1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(Cl)cc1,generated,-8.7
AANZ,1,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(O)CNCCCCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,generated,-8.7
AAMV,1,CC(C)C(NC(=O)c1ccc(C2CCC(O)C2)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,-8.7
AAMQ,1,CC(C)CN(CC(O)C(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2nc(Cc3ccccc3)nc(N)c2c1,generated,-8.7
AAHE,1,CC1(C)CC=C(Cc2ccccc2)CCCC(C(C)(O)CC(O)COC2OC(CO)C(O)C(O)C2O)CC1,generated,-8.6
ABMO,0,CC(C)(C)c1ccccc1N1CCN(c2ccc(N3CCN(CC(=O)N4CCCCCC4)CC3)c(Nc3ccccc3)c2)CC1,generated,-8.6
AAMV,0,O=C(NCCC(O)(c1ccccc1)c1ccccc1)Nc1ccccc1,generated,-8.6
AAIM,0,O=C(Nc1ccc(-c2cccc(C(F)(F)F)c2)cc1)n1ccc(=O)c(=O)[nH]c1=O,generated,-8.6
AAAM,1,CC(C)(C)CCc1ccc(CNc2cc(-c3ccccc3)ccc2N2CCN(C(=O)c3ccccc3)CC2)cc1,generated,-8.6
AAAN,0,CC1CCC(NC(=O)c2ccc(CNC(=O)c3cc(C(C)(C)C)cc(C(F)(F)F)c3)cc2)CC1,generated,-8.6
AAOX,1,CC(C)C(CP(=O)(O)CC(Cc1ccccc1)C(=O)O)NC(=O)CC(O)(C(=O)O)c1ccccc1,generated,-8.6
AAKO,1,CC(C)N(Cc1ccccc1)C(=O)C(NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(Cl)cc1,generated,-8.6
AAWR,0,CC(C)N(Cc1ccc(C(N)=O)cc1)Cc1cccc2ccccc12,generated,-8.5
AALY,1,CC(C)(C)NC(=O)C1CN(Cc2ccccc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC(CO)c1ccccc1,generated,-8.5
ABSL,0,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,hiv,-8.5
AAGI,1,CC(C)(C)N(Cc1ccc(Cl)cc1)Cc1ccc(CNC(=O)c2ccc(Cc3ccccc3)cc2)cc1,generated,-8.5
AANQ,1,CC(C)CC(=O)N(CC(C)C)CC(O)C(NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccccc1,generated,-8.5
AAPH,0,CN(C)c1cncc(C2CC3CCC(C2)N3CC(O)CNC2CCN(C(=O)OC(C)(C)C)CC2)n1,generated,-8.5
AAAY,1,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1ccccc1,training,-8.5
AAOP,1,COC(=O)NC(C(=O)NC(Cc1ccc(-c2ccccc2-c2ccc(CNC(=O)OC(C)(C)C)cc2)cc1)C(O)CNC(C)(C)C)c1ccccc1,generated,-8.5
AAAE,0,NC(=O)c1ccc(NC(=O)C(CC(=O)O)NC(=O)c2cc(-c3ccccc3)ccc2Cl)nn1,generated,-8.5
AAHI,1,O=C(NCCC(O)(c1ccccc1)c1ccccc1)c1ccccc1,generated,-8.4
AACS,1,CC(C)c1ccc(S(=O)(=O)NC(C)C(Nc2ccc3c(C=Cc4ccccc4)nccc3c2)c2ccccc2)cc1,generated,-8.4
AAIB,1,CC1(C)CC=C(COC2=CC=C(C(=O)OC3OC(CO)C(O)C(O)C3O)C(Cc3ccccc3)C(O)=C2)CC1,generated,-8.4
AAIA,1,CC(C)=CC(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)Cc1ccccc1,generated,-8.4
AAOG,1,CC(C)N(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc2c(c1)OCO2,generated,-8.4
AAOR,1,CC(C)(C)NC(=O)C1CN(Cc2ccc(C(F)(F)F)cc2)CC1CNCCCNC(=O)c1ccc2ccccc2n1,generated,-8.4
AAHS,1,CC(C)(C)c1ccc(NCc2cccc(-c3cccc(-c4ccccn4)c3)c2)cc1,generated,-8.4
AAME,1,CC1CCC(NC(=O)C(Cc2ccccc2)NC(=O)c2ccc(CNC(=O)c3ccccc3)cc2)CC1,generated,-8.4
AAPB,1,CC(C)(C)NC(=O)C(Cc1ccccc1)NP(=O)(O)CC(Cc1ccccc1)C(=O)O,generated,-8.4
AANU,1,CC(C)C(NC(=O)CC(O)(C(=O)O)c1ccccc1)C(c1ccccc1)c1ccccc1,generated,-8.4
AAOM,1,O=C(O)C(=O)Nc1ccc(Oc2cccc(C(=O)N3CCc4ccccc4C3)c2)cc1,generated,-8.4
ABQT,0,CN(C)C(=O)C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,generated,-8.4
AAAQ,1,CC(C)(C)c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)c2ccccc2)cc1,generated,-8.4
ABPQ,0,Cc1cccc(NS(=O)(=O)c2c(CNc3ccc(C(=O)N(C)C)cc3)cc(C)nc2C)c1,generated,-8.4
AAAP,0,CC(C)C(NC(=O)CC(O)(C(=O)O)c1ccccc1)C(c1ccccc1)c1ccccc1,generated,-8.4
AAGE,1,CC(C)(C)N(Cc1ccccc1)C(=O)c1ccc(NC(=O)C(CC(=O)O)NC(=O)c2ccccc2)cc1,generated,-8.3
AAFK,1,CC(=O)NC(CCC(C)C)C(=O)NC(Cc1ccccc1)C(O)CN(CC(C)C)C(=O)OC1COC2OCCC12,generated,-8.3
AADF,1,CC(C)(C)CNC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)OC1COC2OCCC12,generated,-8.3
AAJM,1,CC(C)(C)CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccccc1,generated,-8.3
AALB,1,CC(=O)NC(CC1CC2CCCC2C1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,-8.3
AALJ,1,CC(=O)NC(C(=O)NC(Cc1cnc[nH]1)c1ccccc1)C(c1ccccc1)c1ccccc1,generated,-8.3
AADN,1,CN(C)C(=O)C(c1ccccc1)N(CC(F)C(S)C(Cc1c[nH]c2ccccc12)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,generated,-8.3
AACQ,1,CC(=O)NC(CO)c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,generated,-8.3
AAON,1,CN(C)C(=O)C(c1ccccc1)N(Cc1ccccc1)Cc1cccc2ccccc12,generated,-8.3
ABJF,0,Fc1cccc(CNC(=NC2CCC(F)C2)N2CCc3ccccc3C2)c1,generated,-8.2
AAVA,0,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1cn(C)c(=O)[nH]1)c1ccccc1,generated,-8.2
ABGP,0,Cc1ccc(C(c2nnnn2C(C)(C)C)N2CCN(c3ccccc3)CC2)cc1,generated,-8.2
AACK,1,CC(C)C(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CC1CCCC1)NS(=O)(=O)c1ccc(C(CN)NCCO)cc1,generated,-8.2
AADY,1,CC(C)S(=O)(=O)NC(=O)C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,generated,-8.2
ABKL,0,CC(C)(C)N(Cc1cc(F)cc(F)c1)CC(O)c1ccc(O)c(O)c1,generated,-8.2
AAAC,1,O=C(C=Cc1ccc(OCc2ccccc2)cc1)N(Cc1ccccc1)Cc1ccccc1,generated,-8.2
AALM,1,CC(=O)Nc1ccc(OCc2cc(-c3ccccc3)ccc2NC(=O)c2ccc(C)cc2)cc1,generated,-8.2
AAHR,1,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,generated,-8.2
AABX,1,O=C(CC12CCCC1CC(c1ccccc1)CC2)NCc1ccc(CC(=O)Nc2ccccc2)cc1,generated,-8.2
AAFQ,1,O=C(NC(=NS(=O)(=O)c1ccccc1)NCc1cccc(C(F)(F)F)c1)OC1CCOC1,generated,-8.2
AAMO,1,CC(C)C(NC(=O)c1ccc(NC(=O)C(NS(=O)(=O)c2ccccc2)c2ccccc2)cc1)C(=O)NC(Cc1cnc[nH]1)c1ccccc1,generated,-8.1
AACX,1,CC(C)(C)c1ccc(NC(=O)Nc2cccc(NC(=O)c3ccc(C(F)(F)F)cc3)c2)cc1,generated,-8.1
AADL,1,CC(C)(C)NC(=O)C1CN(Cc2ccccc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,training,-8.1
ABCM,0,CC1(C)CC=C(COc2ccc3c(C=Cc4ccccc4)n[nH]c3c2)CCCC1,generated,-8.1
AAHC,1,CC(C)(C)c1ccc(-c2nn(CC3CCN(Cc4ccccc4)CC3)c(=O)[nH]2)cc1,generated,-8.1
AADM,1,CC1CCCC(CNc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)C1,generated,-8.1
ABSS,0,CCOP(=O)(COc1ccc(CC(NC(=O)OC2COC3OCCC23)C(O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)cc1)OCC,hiv,-8
AAHB,1,CC(=O)NC(CO)c1cccc(OCc2cccc(C(F)(F)F)c2)c1,generated,-8
ABFR,0,CC(=O)Nc1ccc(Nc2cc(-c3ccccc3)ccc2-c2ccc(C)cc2)cc1,generated,-8
AAJD,1,N#Cc1cccc(NCC(O)C(Cc2ccccc2)NC(=O)c2ccccc2)c1,generated,-8
AALD,1,CC(=O)NC(CC(C)C)C(O)CN(Cc1ccc(NC(=O)OC(C)(C)C)cc1)C(c1ccccc1)c1ccccc1,generated,-8
AACM,1,CC(C)(C)NC(=O)C1CN(Cc2ccccn2)CCN1CC(O)C(Cc1ccccc1)NC(=O)c1ccc2ccccc2n1,generated,-8
ABOP,0,CC1=C(C(=O)OC(c2ccccc2)c2ccccc2)C(C)(C)CN1CC(O)COCc1ccccc1,generated,-8
